StudentID,Priority,Nacionality,AdmissionGrade,Relocated,SpecialNeeds,HasDebt,PayTuition,Gender,HasScholarship,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Relationship,MothersHigherEducation,FathersHigherEducation,Dropout
5971,1,Portuguese,15,Yes,No,No,Yes,Female,No,1.0203795676993588,5.229624106812563,14.796215347801592,5.255967179735621,11.5996792868855,0.0,1.0874616347369042,5.393588067065515,6.659908123595853,7.196124779902836,14.203258868136958,0.0,13.898735803053631,0.25943673273048856,-0.904831298534444,Single,No,No,No
5656,1,Portuguese,12,No,No,No,No,Female,No,0.0,5.229624106812563,13.739342822958621,4.204773743788497,9.044304394477555,0.0,0.0,5.393588067065515,11.416985354735749,0.0,0.0,1.138214196975588,9.265823868702423,1.2107047527422798,1.711311368967318,Married,No,No,Yes
3885,1,Portuguese,16,No,No,Yes,No,Female,No,0.0,5.229624106812563,7.398107673900796,4.204773743788497,10.853165273373067,0.0,0.0,5.393588067065515,5.708492677367874,0.0,0.0,6.829285181853527,10.89592251227044,3.199719703676026,-1.67197087772669,Married,No,No,Yes
6574,1,Portuguese,10,No,No,No,Yes,Male,No,0.0,4.358020089010469,5.284362624214855,5.255967179735621,8.843319852378054,0.0,0.0,4.494656722554597,10.465569908507769,3.598062389951418,12.087879887776134,0.0,9.265823868702423,1.2107047527422798,1.711311368967318,Single,No,No,No
6095,2,Portuguese,11,Yes,No,No,No,Female,No,0.0,5.229624106812563,6.341235149057825,0.0,0.0,0.0,0.0,5.393588067065515,0.0,0.0,0.0,0.0,7.635725225134403,1.2107047527422798,3.4521281063651066,Single,No,No,Yes
6284,1,Portuguese,13,No,No,Yes,No,Female,No,0.0,6.101228124614656,11.62559777327268,4.204773743788497,9.647258020776059,0.0,0.0,6.292519411576435,8.562739016051811,7.196124779902836,12.515992300468206,0.0,13.898735803053631,0.25943673273048856,-0.904831298534444,Single,No,No,Yes
5901,1,Portuguese,17,Yes,No,No,Yes,Male,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92545849768182,-0.25943673273048856,0.776974702002403,Single,No,Yes,No
3919,1,Portuguese,11,Yes,No,No,Yes,Female,No,0.0,5.229624106812563,8.454980198743767,6.307160615682745,9.781247715509059,0.0,0.0,5.393588067065515,5.708492677367874,7.196124779902836,14.278808117435558,0.0,9.523207865055266,0.5188734654609771,1.986694807651714,Single,No,No,No
3448,1,Portuguese,13,No,No,Yes,Yes,Female,No,3.0611387030980763,5.229624106812563,6.341235149057825,6.307160615682745,9.781247715509059,0.0,2.1749232694738083,5.393588067065515,6.659908123595853,7.196124779902836,12.390076884970536,0.0,11.92545849768182,-0.25943673273048856,0.776974702002403,Single,No,No,No
6875,3,Portuguese,11,Yes,No,No,Yes,Female,Yes,0.0,6.101228124614656,10.56872524842971,6.307160615682745,9.934378795203918,0.0,0.0,7.191450756087354,8.562739016051811,8.395478909886641,13.749963372345352,0.0,11.92545849768182,-0.25943673273048856,0.776974702002403,Single,No,No,No
