Relocated,HasDebt,PayTuition,Gender,HasScholarship,X2,X4,X5,X8,X9,X10,X11,Dropout
1.0,0.0,1.0,1.0,0.0,0.26086956521739135,0.2857142857142857,0.7884615384615387,0.26086956521739124,0.18181818181818182,0.3,0.7179487179487181,0
1.0,0.0,1.0,1.0,0.0,0.2173913043478261,0.19047619047619047,0.8221153846153847,0.21739130434782608,0.2424242424242424,0.25,0.6846153846153847,0
0.0,0.0,1.0,0.0,0.0,0.2173913043478261,0.19047619047619047,0.7788461538461542,0.21739130434782608,0.18181818181818182,0.25,0.6246153846153848,0
1.0,0.0,1.0,1.0,1.0,0.26086956521739135,0.2857142857142857,0.7307692307692307,0.26086956521739124,0.18181818181818182,0.3,0.7000000000000001,0
0.0,0.0,1.0,1.0,0.0,0.2173913043478261,0.23809523809523808,0.6230769230769232,0.21739130434782608,0.2727272727272727,0.2,0.6192307692307694,0
1.0,0.0,1.0,1.0,0.0,0.26086956521739135,0.2857142857142857,0.9230769230769234,0.26086956521739124,0.2424242424242424,0.3,0.8548076923076924,0
0.0,0.0,1.0,1.0,0.0,0.2173913043478261,0.23809523809523808,0.8076923076923077,0.21739130434782608,0.15151515151515155,0.25,0.7430769230769234,0
0.0,0.0,1.0,1.0,0.0,0.26086956521739135,0.2857142857142857,0.8489010989010992,0.26086956521739124,0.21212121212121213,0.3,0.7628205128205129,0
0.0,0.0,1.0,1.0,0.0,0.26086956521739135,0.2857142857142857,0.8324175824175826,0.26086956521739124,0.36363636363636365,0.2,0.8400000000000001,0
1.0,0.0,1.0,1.0,0.0,0.2173913043478261,0.19047619047619047,0.6346153846153847,0.21739130434782608,0.2424242424242424,0.25,0.6461538461538463,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,1.0,0.0,0.0,0.2173913043478261,0.19047619047619047,0.5769230769230771,0.21739130434782608,0.2424242424242424,0.05,0.8615384615384617,0
0.0,0.0,1.0,1.0,1.0,0.26086956521739135,0.09523809523809523,0.5961538461538463,0.26086956521739124,0.21212121212121213,0.3,0.6192307692307694,0
1.0,0.0,1.0,1.0,1.0,0.26086956521739135,0.2857142857142857,0.774725274725275,0.26086956521739124,0.18181818181818182,0.3,0.6820512820512822,0
0.0,0.0,1.0,1.0,1.0,0.26086956521739135,0.2857142857142857,0.8653846153846153,0.26086956521739124,0.18181818181818182,0.3,0.7179487179487181,0
